CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 1.792969 1540182512.1588
MEM 11.632812 1540182512.2594
MEM 11.632812 1540182512.3600
MEM 11.632812 1540182512.4606
MEM 11.632812 1540182512.5611
MEM 11.632812 1540182512.6617
MEM 11.632812 1540182512.7622
MEM 11.632812 1540182512.8627
MEM 11.632812 1540182512.9632
MEM 11.632812 1540182513.0637
MEM 11.632812 1540182513.1643
MEM 11.632812 1540182513.2650
MEM 11.632812 1540182513.3656
MEM 11.632812 1540182513.4664
MEM 12.125000 1540182513.5667
MEM 12.125000 1540182513.6671
MEM 12.125000 1540182513.7676
MEM 12.125000 1540182513.8682
MEM 12.125000 1540182513.9689
MEM 12.125000 1540182514.0694
MEM 12.125000 1540182514.1699
MEM 12.125000 1540182514.2705
MEM 12.125000 1540182514.3710
MEM 12.125000 1540182514.4716
MEM 12.125000 1540182514.5723
MEM 12.125000 1540182514.6728
MEM 12.125000 1540182514.7734
MEM 12.125000 1540182514.8738
MEM 12.324219 1540182514.9743
MEM 12.324219 1540182515.0747
MEM 12.324219 1540182515.1752
MEM 12.324219 1540182515.2758
MEM 12.324219 1540182515.3763
MEM 12.324219 1540182515.4766
MEM 12.324219 1540182515.5770
MEM 12.324219 1540182515.6774
MEM 12.324219 1540182515.7780
MEM 12.324219 1540182515.8787
MEM 12.324219 1540182515.9794
MEM 12.324219 1540182516.0802
MEM 12.324219 1540182516.1809
MEM 12.324219 1540182516.2816
MEM 12.324219 1540182516.3824
MEM 12.324219 1540182516.4828
MEM 12.324219 1540182516.5832
MEM 12.324219 1540182516.6838
MEM 12.324219 1540182516.7845
MEM 12.324219 1540182516.8852
MEM 14.195312 1540182516.9857
MEM 14.355469 1540182517.0862
MEM 14.699219 1540182517.1866
MEM 16.250000 1540182517.2872
MEM 16.250000 1540182517.3879
MEM 16.250000 1540182517.4886
MEM 16.250000 1540182517.5893
MEM 16.250000 1540182517.6899
MEM 16.250000 1540182517.7906
MEM 16.250000 1540182517.8914
MEM 16.250000 1540182517.9921
MEM 16.250000 1540182518.0929
MEM 16.507812 1540182518.1934
MEM 16.507812 1540182518.2940
MEM 17.539062 1540182518.3946
MEM 17.539062 1540182518.4952
MEM 17.539062 1540182518.5958
MEM 17.539062 1540182518.6963
MEM 17.539062 1540182518.7968
MEM 17.539062 1540182518.8973
MEM 17.539062 1540182518.9979
MEM 17.539062 1540182519.0986
MEM 17.539062 1540182519.1992
MEM 17.796875 1540182519.2999
MEM 17.796875 1540182519.4006
MEM 17.796875 1540182519.5013
MEM 17.796875 1540182519.6020
MEM 17.796875 1540182519.7027
MEM 17.796875 1540182519.8031
MEM 17.796875 1540182519.9037
MEM 17.796875 1540182520.0044
MEM 17.796875 1540182520.1051
MEM 17.796875 1540182520.2058
MEM 17.796875 1540182520.3066
MEM 17.796875 1540182520.4073
MEM 18.054688 1540182520.5081
MEM 18.054688 1540182520.6088
MEM 18.054688 1540182520.7094
MEM 18.828125 1540182520.8099
MEM 18.828125 1540182520.9103
MEM 19.859375 1540182521.0108
MEM 19.859375 1540182521.1113
MEM 20.890625 1540182521.2118
MEM 20.890625 1540182521.3123
MEM 20.890625 1540182521.4129
MEM 21.921875 1540182521.5135
MEM 21.921875 1540182521.6141
MEM 21.921875 1540182521.7145
MEM 21.921875 1540182521.8149
MEM 21.921875 1540182521.9155
MEM 21.921875 1540182522.0161
MEM 21.921875 1540182522.1166
MEM 22.179688 1540182522.2170
MEM 22.953125 1540182522.3176
MEM 22.953125 1540182522.4184
MEM 22.953125 1540182522.5191
MEM 22.953125 1540182522.6199
MEM 22.953125 1540182522.7206
MEM 22.953125 1540182522.8213
MEM 22.953125 1540182522.9220
MEM 22.953125 1540182523.0225
MEM 22.953125 1540182523.1232
MEM 22.953125 1540182523.2237
MEM 23.210938 1540182523.3244
MEM 23.984375 1540182523.4248
MEM 23.984375 1540182523.5255
MEM 23.984375 1540182523.6258
MEM 23.984375 1540182523.7265
MEM 23.984375 1540182523.8271
MEM 23.984375 1540182523.9277
MEM 23.984375 1540182524.0284
MEM 23.984375 1540182524.1291
MEM 24.242188 1540182524.2296
MEM 24.757812 1540182524.3300
MEM 25.015625 1540182524.4306
MEM 25.015625 1540182524.5313
MEM 25.015625 1540182524.6320
MEM 25.015625 1540182524.7326
MEM 25.015625 1540182524.8332
MEM 25.015625 1540182524.9338
MEM 25.015625 1540182525.0344
MEM 25.015625 1540182525.1349
MEM 25.789062 1540182525.2354
MEM 25.789062 1540182525.3359
MEM 25.789062 1540182525.4364
MEM 25.789062 1540182525.5370
MEM 25.789062 1540182525.6377
MEM 25.789062 1540182525.7380
MEM 25.789062 1540182525.8383
MEM 25.789062 1540182525.9388
MEM 26.046875 1540182526.0392
MEM 26.820312 1540182526.1396
MEM 26.820312 1540182526.2399
MEM 26.820312 1540182526.3402
MEM 26.820312 1540182526.4406
MEM 26.820312 1540182526.5409
MEM 26.820312 1540182526.6413
