CMDLINE ./parallel_webparser mprof plot -o ./par_mem.jpg
MEM 1.839844 1540180185.9409
MEM 12.050781 1540180186.0414
MEM 12.484375 1540180186.1418
MEM 14.917969 1540180186.2422
MEM 21.843750 1540180186.3426
MEM 21.843750 1540180186.4429
MEM 23.156250 1540180186.5434
MEM 26.996094 1540180186.6437
MEM 28.023438 1540180186.7441
MEM 28.281250 1540180186.8445
MEM 33.941406 1540180186.9449
MEM 33.941406 1540180187.0453
MEM 34.453125 1540180187.1457
MEM 38.585938 1540180187.2460
MEM 38.585938 1540180187.3464
MEM 38.585938 1540180187.4469
MEM 38.585938 1540180187.5475
MEM 41.937500 1540180187.6479
MEM 41.937500 1540180187.7483
MEM 44.515625 1540180187.8487
MEM 44.515625 1540180187.9493
MEM 45.804688 1540180188.0497
MEM 47.093750 1540180188.1501
MEM 47.093750 1540180188.2506
MEM 48.898438 1540180188.3509
MEM 52.246094 1540180188.4513
MEM 52.246094 1540180188.5517
MEM 56.894531 1540180188.6521
MEM 59.472656 1540180188.7524
MEM 59.472656 1540180188.8529
MEM 63.597656 1540180188.9533
MEM 66.691406 1540180189.0537
MEM 68.070312 1540180189.1540
MEM 72.078125 1540180189.2543
MEM 73.531250 1540180189.3546
MEM 76.015625 1540180189.4550
MEM 76.015625 1540180189.5554
