CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 19.382812 1540186239.8169
MEM 19.382812 1540186239.9174
MEM 19.382812 1540186240.0180
MEM 19.382812 1540186240.1186
MEM 20.156250 1540186240.2190
MEM 20.156250 1540186240.3194
MEM 20.156250 1540186240.4199
MEM 20.929688 1540186240.5203
MEM 21.187500 1540186240.6208
MEM 21.960938 1540186240.7211
MEM 21.960938 1540186240.8216
MEM 22.992188 1540186240.9220
MEM 23.250000 1540186241.0225
MEM 23.507812 1540186241.1229
MEM 24.023438 1540186241.2236
MEM 24.539062 1540186241.3240
MEM 25.054688 1540186241.4244
MEM 25.570312 1540186241.5249
MEM 26.085938 1540186241.6253
MEM 26.601562 1540186241.7258
MEM 27.117188 1540186241.8262
MEM 27.375000 1540186241.9266
MEM 28.148438 1540186242.0272
MEM 28.406250 1540186242.1277
MEM 29.179688 1540186242.2282
MEM 29.179688 1540186242.3288
MEM 30.210938 1540186242.4291
MEM 30.210938 1540186242.5298
MEM 30.468750 1540186242.6302
MEM 31.242188 1540186242.7307
MEM 31.757812 1540186242.8310
MEM 32.273438 1540186242.9315
MEM 32.273438 1540186243.0319
MEM 32.273438 1540186243.1325
MEM 32.273438 1540186243.2331
MEM 32.273438 1540186243.3338
MEM 32.273438 1540186243.4345
MEM 32.273438 1540186243.5352
MEM 32.273438 1540186243.6358
MEM 32.273438 1540186243.7363
MEM 32.273438 1540186243.8370
MEM 32.273438 1540186243.9376
MEM 32.273438 1540186244.0383
MEM 32.273438 1540186244.1390
MEM 32.273438 1540186244.2398
MEM 32.273438 1540186244.3404
MEM 32.273438 1540186244.4411
MEM 32.273438 1540186244.5418
MEM 32.531250 1540186244.6425
MEM 33.046875 1540186244.7429
MEM 33.046875 1540186244.8435
MEM 33.562500 1540186244.9439
MEM 34.078125 1540186245.0445
MEM 34.593750 1540186245.1448
MEM 35.109375 1540186245.2453
MEM 35.625000 1540186245.3457
MEM 36.140625 1540186245.4463
MEM 36.398438 1540186245.5468
MEM 37.171875 1540186245.6471
MEM 37.429688 1540186245.7474
MEM 38.460938 1540186245.8479
MEM 38.718750 1540186245.9482
MEM 39.492188 1540186246.0486
MEM 39.492188 1540186246.1491
MEM 39.492188 1540186246.2497
MEM 39.492188 1540186246.3503
MEM 39.492188 1540186246.4508
MEM 39.492188 1540186246.5514
MEM 39.492188 1540186246.6519
MEM 39.492188 1540186246.7523
MEM 39.492188 1540186246.8528
MEM 39.492188 1540186246.9533
MEM 39.492188 1540186247.0539
MEM 39.492188 1540186247.1544
MEM 39.492188 1540186247.2552
MEM 39.492188 1540186247.3559
MEM 39.492188 1540186247.4565
MEM 39.492188 1540186247.5572
MEM 39.492188 1540186247.6579
MEM 39.492188 1540186247.7583
MEM 39.492188 1540186247.8587
MEM 39.492188 1540186247.9592
MEM 39.750000 1540186248.0596
MEM 39.750000 1540186248.1601
MEM 39.750000 1540186248.2607
MEM 39.750000 1540186248.3613
MEM 39.750000 1540186248.4620
MEM 39.750000 1540186248.5627
MEM 39.750000 1540186248.6634
MEM 39.750000 1540186248.7638
MEM 39.750000 1540186248.8644
MEM 40.265625 1540186248.9650
MEM 40.781250 1540186249.0654
MEM 41.554688 1540186249.1659
MEM 41.554688 1540186249.2665
MEM 41.554688 1540186249.3673
MEM 41.554688 1540186249.4680
MEM 41.554688 1540186249.5687
MEM 41.554688 1540186249.6696
MEM 41.554688 1540186249.7701
MEM 41.554688 1540186249.8709
MEM 41.554688 1540186249.9716
MEM 41.554688 1540186250.0722
MEM 41.554688 1540186250.1729
MEM 41.554688 1540186250.2736
