CMDLINE ./parallel_webparser
MEM 1.855469 1540180215.2948
MEM 12.062500 1540180215.3954
MEM 12.585938 1540180215.4959
MEM 21.792969 1540180215.5962
MEM 21.792969 1540180215.6966
MEM 23.105469 1540180215.7970
MEM 26.589844 1540180215.8974
MEM 26.859375 1540180215.9979
MEM 28.921875 1540180216.0983
MEM 29.179688 1540180216.1989
MEM 29.695312 1540180216.2993
MEM 30.722656 1540180216.3998
MEM 30.976562 1540180216.5001
MEM 32.781250 1540180216.6006
MEM 33.808594 1540180216.7009
MEM 35.871094 1540180216.8013
MEM 37.414062 1540180216.9017
MEM 40.507812 1540180217.0022
MEM 42.312500 1540180217.1026
MEM 43.859375 1540180217.2029
MEM 44.890625 1540180217.3033
MEM 45.664062 1540180217.4036
MEM 47.210938 1540180217.5041
MEM 48.500000 1540180217.6045
MEM 52.109375 1540180217.7048
MEM 54.687500 1540180217.8052
MEM 57.523438 1540180217.9056
MEM 60.101562 1540180218.0060
MEM 64.226562 1540180218.1064
MEM 66.558594 1540180218.2068
MEM 66.957031 1540180218.3074
MEM 72.644531 1540180218.4077
MEM 72.644531 1540180218.5082
MEM 72.644531 1540180218.6089
MEM 72.644531 1540180218.7095
