CMDLINE ./parallel_webparser
MEM 1.828125 1540181500.4997
MEM 11.988281 1540181500.6003
MEM 12.421875 1540181500.7008
MEM 14.960938 1540181500.8011
MEM 21.886719 1540181500.9016
MEM 22.144531 1540181501.0021
MEM 23.429688 1540181501.1025
MEM 28.976562 1540181501.2028
MEM 28.976562 1540181501.3032
MEM 28.976562 1540181501.4037
MEM 30.777344 1540181501.5041
MEM 32.593750 1540181501.6045
MEM 32.851562 1540181501.7049
MEM 35.179688 1540181501.8052
MEM 37.757812 1540181501.9057
MEM 39.300781 1540181502.0060
MEM 39.300781 1540181502.1065
MEM 42.390625 1540181502.2068
MEM 43.937500 1540181502.3073
MEM 44.968750 1540181502.4077
MEM 46.000000 1540181502.5082
MEM 46.515625 1540181502.6085
MEM 46.773438 1540181502.7090
MEM 46.773438 1540181502.8096
MEM 49.093750 1540181502.9099
MEM 49.093750 1540181503.0104
MEM 50.125000 1540181503.1108
MEM 52.703125 1540181503.2111
MEM 52.703125 1540181503.3116
MEM 55.281250 1540181503.4119
MEM 57.343750 1540181503.5124
MEM 57.859375 1540181503.6128
MEM 61.210938 1540181503.7132
MEM 62.500000 1540181503.8135
MEM 62.757812 1540181503.9139
MEM 65.089844 1540181504.0143
MEM 66.992188 1540181504.1148
MEM 70.585938 1540181504.2151
MEM 72.015625 1540181504.3155
MEM 73.144531 1540181504.4159
MEM 73.144531 1540181504.5163
MEM 73.144531 1540181504.6167
MEM 73.144531 1540181504.7171
MEM 73.144531 1540181504.8177
MEM 74.468750 1540181504.9182
MEM 74.468750 1540181505.0187
MEM 74.468750 1540181505.1192
