CMDLINE ./parallel_webparser
MEM 1.777344 1540180388.3274
MEM 11.707031 1540180388.4277
MEM 11.964844 1540180388.5282
MEM 11.964844 1540180388.6285
MEM 11.964844 1540180388.7290
MEM 11.964844 1540180388.8293
MEM 11.964844 1540180388.9299
MEM 11.964844 1540180389.0305
MEM 11.964844 1540180389.1312
MEM 11.964844 1540180389.2318
MEM 11.964844 1540180389.3323
MEM 12.398438 1540180389.4329
MEM 12.398438 1540180389.5336
MEM 12.546875 1540180389.6343
MEM 17.914062 1540180389.7347
MEM 21.769531 1540180389.8351
MEM 21.769531 1540180389.9359
MEM 21.769531 1540180390.0366
MEM 21.769531 1540180390.1372
MEM 21.769531 1540180390.2379
MEM 21.769531 1540180390.3385
MEM 21.769531 1540180390.4392
MEM 21.769531 1540180390.5396
MEM 22.937500 1540180390.6400
MEM 24.656250 1540180390.7404
MEM 25.808594 1540180390.8407
MEM 25.808594 1540180390.9410
MEM 26.015625 1540180391.0413
MEM 28.644531 1540180391.1417
MEM 30.718750 1540180391.2422
MEM 30.718750 1540180391.3425
MEM 30.718750 1540180391.4428
MEM 32.089844 1540180391.5432
MEM 33.539062 1540180391.6436
MEM 33.539062 1540180391.7439
MEM 33.738281 1540180391.8445
MEM 33.906250 1540180391.9451
MEM 34.902344 1540180392.0454
MEM 35.933594 1540180392.1458
MEM 35.933594 1540180392.2462
MEM 37.218750 1540180392.3466
MEM 38.757812 1540180392.4469
MEM 41.027344 1540180392.5472
MEM 42.054688 1540180392.6476
MEM 42.054688 1540180392.7480
MEM 42.308594 1540180392.8484
MEM 43.246094 1540180392.9488
MEM 43.246094 1540180393.0494
MEM 43.246094 1540180393.1499
MEM 43.246094 1540180393.2504
MEM 43.246094 1540180393.3508
MEM 43.246094 1540180393.4514
MEM 43.246094 1540180393.5518
MEM 43.246094 1540180393.6522
MEM 43.761719 1540180393.7527
MEM 44.792969 1540180393.8533
MEM 45.824219 1540180393.9538
MEM 45.824219 1540180394.0542
MEM 46.339844 1540180394.1547
MEM 48.398438 1540180394.2550
MEM 48.656250 1540180394.3554
MEM 49.121094 1540180394.4558
MEM 49.894531 1540180394.5562
MEM 51.699219 1540180394.6565
MEM 54.019531 1540180394.7569
MEM 54.019531 1540180394.8573
MEM 54.019531 1540180394.9579
MEM 54.277344 1540180395.0583
MEM 54.277344 1540180395.1588
MEM 54.535156 1540180395.2593
MEM 54.792969 1540180395.3598
MEM 55.308594 1540180395.4602
MEM 57.628906 1540180395.5606
MEM 57.800781 1540180395.6611
MEM 57.800781 1540180395.7615
MEM 59.183594 1540180395.8620
MEM 60.480469 1540180395.9624
MEM 60.730469 1540180396.0628
MEM 60.730469 1540180396.1632
MEM 60.988281 1540180396.2635
MEM 63.074219 1540180396.3639
