CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 1.921875 1540186132.8342
MEM 11.984375 1540186132.9346
MEM 11.984375 1540186133.0351
MEM 12.667969 1540186133.1356
MEM 14.531250 1540186133.2361
MEM 14.531250 1540186133.3367
MEM 15.785156 1540186133.4371
MEM 16.558594 1540186133.5376
MEM 16.558594 1540186133.6383
MEM 16.558594 1540186133.7386
MEM 16.558594 1540186133.8391
MEM 16.558594 1540186133.9397
MEM 16.558594 1540186134.0403
MEM 16.558594 1540186134.1409
MEM 16.558594 1540186134.2415
MEM 16.558594 1540186134.3422
MEM 16.558594 1540186134.4429
MEM 16.558594 1540186134.5437
MEM 16.558594 1540186134.6445
MEM 16.558594 1540186134.7450
MEM 16.558594 1540186134.8455
MEM 16.558594 1540186134.9463
MEM 16.558594 1540186135.0470
MEM 16.558594 1540186135.1475
MEM 16.558594 1540186135.2481
MEM 16.816406 1540186135.3488
MEM 16.816406 1540186135.4496
MEM 16.816406 1540186135.5501
MEM 17.847656 1540186135.6507
MEM 17.847656 1540186135.7513
MEM 17.847656 1540186135.8517
MEM 17.847656 1540186135.9523
MEM 17.847656 1540186136.0528
MEM 17.847656 1540186136.1533
MEM 17.847656 1540186136.2538
MEM 17.847656 1540186136.3542
MEM 17.847656 1540186136.4547
MEM 17.847656 1540186136.5553
MEM 17.847656 1540186136.6561
MEM 17.847656 1540186136.7566
MEM 17.847656 1540186136.8585
MEM 18.105469 1540186136.9593
MEM 18.105469 1540186137.0599
MEM 18.105469 1540186137.1605
MEM 18.105469 1540186137.2613
MEM 18.363281 1540186137.3617
MEM 19.136719 1540186137.4623
MEM 19.136719 1540186137.5628
MEM 20.167969 1540186137.6633
MEM 20.167969 1540186137.7639
MEM 20.941406 1540186137.8643
MEM 21.199219 1540186137.9651
MEM 21.457031 1540186138.0656
MEM 22.230469 1540186138.1663
MEM 22.230469 1540186138.2670
MEM 22.230469 1540186138.3677
MEM 22.230469 1540186138.4684
MEM 22.230469 1540186138.5692
MEM 22.230469 1540186138.6700
MEM 22.230469 1540186138.7707
MEM 22.230469 1540186138.8715
MEM 22.230469 1540186138.9722
MEM 22.488281 1540186139.0729
MEM 22.488281 1540186139.1734
MEM 23.261719 1540186139.2739
MEM 23.261719 1540186139.3747
MEM 24.035156 1540186139.4751
MEM 24.035156 1540186139.5756
MEM 24.550781 1540186139.6760
MEM 25.066406 1540186139.7765
MEM 25.582031 1540186139.8770
MEM 26.097656 1540186139.9775
MEM 26.355469 1540186140.0779
MEM 27.128906 1540186140.1783
MEM 27.128906 1540186140.2788
MEM 27.902344 1540186140.3792
