CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 1.921875 1540186020.4791
MEM 11.957031 1540186020.5796
MEM 11.957031 1540186020.6800
MEM 11.957031 1540186020.7803
MEM 11.957031 1540186020.8807
MEM 12.515625 1540186020.9811
MEM 12.515625 1540186021.0815
MEM 14.503906 1540186021.1818
MEM 14.503906 1540186021.2825
MEM 15.019531 1540186021.3831
MEM 16.570312 1540186021.4835
MEM 16.570312 1540186021.5838
MEM 16.570312 1540186021.6842
MEM 16.570312 1540186021.7846
MEM 16.570312 1540186021.8850
MEM 16.570312 1540186021.9855
MEM 16.570312 1540186022.0863
MEM 16.570312 1540186022.1869
MEM 16.570312 1540186022.2875
MEM 16.570312 1540186022.3883
MEM 16.570312 1540186022.4886
MEM 16.570312 1540186022.5890
MEM 16.570312 1540186022.6893
MEM 16.570312 1540186022.7899
MEM 16.570312 1540186022.8907
MEM 16.570312 1540186022.9913
MEM 16.828125 1540186023.0918
MEM 17.859375 1540186023.1923
MEM 17.859375 1540186023.2928
MEM 17.859375 1540186023.3934
MEM 17.859375 1540186023.4939
MEM 17.859375 1540186023.5945
MEM 17.859375 1540186023.6948
MEM 17.859375 1540186023.7955
MEM 17.859375 1540186023.8962
MEM 17.859375 1540186023.9969
MEM 17.859375 1540186024.0977
MEM 17.859375 1540186024.1985
MEM 17.859375 1540186024.2990
MEM 17.859375 1540186024.3996
MEM 17.859375 1540186024.5001
MEM 17.859375 1540186024.6007
MEM 18.117188 1540186024.7010
MEM 18.117188 1540186024.8015
MEM 18.117188 1540186024.9022
MEM 18.117188 1540186025.0030
MEM 18.117188 1540186025.1034
MEM 18.117188 1540186025.2040
MEM 18.117188 1540186025.3046
MEM 18.117188 1540186025.4052
MEM 18.890625 1540186025.5057
MEM 18.890625 1540186025.6062
MEM 18.890625 1540186025.7066
MEM 18.890625 1540186025.8070
MEM 18.890625 1540186025.9074
MEM 18.890625 1540186026.0077
MEM 18.890625 1540186026.1083
MEM 18.890625 1540186026.2088
MEM 18.890625 1540186026.3093
MEM 18.890625 1540186026.4097
MEM 18.890625 1540186026.5101
MEM 19.148438 1540186026.6105
MEM 19.148438 1540186026.7110
MEM 19.148438 1540186026.8113
MEM 19.921875 1540186026.9117
MEM 20.179688 1540186027.0123
MEM 20.179688 1540186027.1129
MEM 20.179688 1540186027.2135
MEM 20.179688 1540186027.3141
MEM 20.179688 1540186027.4146
MEM 20.179688 1540186027.5150
MEM 20.179688 1540186027.6155
MEM 20.179688 1540186027.7158
MEM 20.179688 1540186027.8163
MEM 20.179688 1540186027.9166
MEM 20.437500 1540186028.0169
MEM 20.953125 1540186028.1173
MEM 20.953125 1540186028.2180
MEM 20.953125 1540186028.3185
MEM 20.953125 1540186028.4192
MEM 20.953125 1540186028.5198
MEM 20.953125 1540186028.6204
MEM 20.953125 1540186028.7208
MEM 21.210938 1540186028.8214
MEM 21.468750 1540186028.9219
MEM 21.468750 1540186029.0224
MEM 21.984375 1540186029.1228
MEM 21.984375 1540186029.2232
MEM 21.984375 1540186029.3236
MEM 21.984375 1540186029.4239
